quote,author,tags,likes
"Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.",Rob Siltanen,"['advertising', 'apple', 'change', 'commercial', 'computers', 'different', 'madness', 'misattributed-apple', 'misattributed-steve-jobs', 'misfits', 'nonconformity', 'progressive', 'rebels', 'status-quo', 'think-different', 'troublemakers']",63689
We accept the love we think we deserve.,Stephen Chbosky,"['inspirational', 'love']",63156
"Insanity is doing the same thing, over and over again, but expecting different results.",Narcotics Anonymous,"['humor', 'insanity', 'life', 'misattributed-ben-franklin', 'misattributed-mark-twain', 'misattributed-to-einstein']",59774
"I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.",Marilyn Monroe,"['attributed-no-source', 'misattributed-marilyn-monroe']",58752
"Don't cry because it's over, smile because it happened.",Dr. Seuss,"['attributed-no-source', 'cry', 'crying', 'experience', 'happiness', 'joy', 'life', 'misattributed-dr-seuss', 'optimism', 'sadness', 'smile', 'smiling']",190302
"I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",Marilyn Monroe,"['attributed-no-source', 'best', 'life', 'love', 'mistakes', 'out-of-control', 'truth', 'worst']",146366
Be yourself; everyone else is already taken.,Oscar Wilde,"['attributed-no-source', 'be-yourself', 'honesty', 'inspirational', 'misattributed-oscar-wilde']",143579
Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,Albert Einstein,"['attributed-no-source', 'human-nature', 'humor', 'infinity', 'philosophy', 'science', 'stupidity', 'universe']",127666
"So many books, so little time.",Frank Zappa,"['books', 'humor']",122544
"Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.",Bernard M. Baruch,"['ataraxy', 'be-yourself', 'confidence', 'fitting-in', 'individuality', 'misattributed-dr-seuss', 'those-who-matter']",118237
A room without books is like a body without a soul.,Marcus Tullius Cicero,"['attributed-no-source', 'books', 'simile', 'soul']",116473
"You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.",William W. Purkey,"['dance', 'heaven', 'hurt', 'inspirational', 'life', 'love', 'sing']",115128
You know you're in love when you can't fall asleep because reality is finally better than your dreams.,Dr. Seuss,"['attributed-no-source', 'dreams', 'love', 'reality', 'sleep']",112503
"You only live once, but if you do it right, once is enough.",Mae West,"['humor', 'life']",104710
Be the change that you wish to see in the world.,Mahatma Gandhi,"['action', 'change', 'inspirational', 'philosophy', 'wish']",103367
In three words I can sum up everything I've learned about life: it goes on.,Robert Frost,['life'],97368
"If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.",J.K. Rowling,[],93438
Don’t walk in front of me… I may not followDon’t walk behind me… I may not leadWalk beside me… just be my friend,Albert Camus,"['attributed-no-source', 'friends', 'friendship', 'misattributed-albert-camus']",83760
"Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .",C.S. Lewis,['friendship'],82920
No one can make you feel inferior without your consent.,Eleanor Roosevelt,"['confidence', 'inspirational', 'wisdom']",82879
"If you tell the truth, you don't have to remember anything.",Mark Twain,"['lies', 'lying', 'memory', 'truth']",81834
A friend is someone who knows all about you and still loves you.,Elbert Hubbard,"['friend', 'friendship', 'knowledge', 'love']",76963
"I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",Maya Angelou,[],76750
Always forgive your enemies; nothing annoys them so much.,Oscar Wilde,"['attributed-no-source', 'enemies', 'forgiveness', 'strategy']",73902
"To live is the rarest thing in the world. Most people exist, that is all.",Oscar Wilde,['life'],71176
Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi,"['carpe-diem', 'education', 'inspirational', 'learning']",70948
Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,Martin Luther King Jr.,"['darkness', 'drive-out', 'hate', 'inspirational', 'light', 'love', 'peace']",70160
I am so clever that sometimes I don't understand a single word of what I am saying.,Oscar Wilde,"['intelligence', 'self-deprecation']",66522
"Without music, life would be a mistake.",Friedrich Nietzsche,"['inspirational', 'music', 'philosophy']",65031
To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.,Ralph Waldo Emerson,"['accomplishment', 'attributed-no-source', 'be-yourself', 'conformity', 'individuality']",63804
"Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.",Rob Siltanen,"['advertising', 'apple', 'change', 'commercial', 'computers', 'different', 'madness', 'misattributed-apple', 'misattributed-steve-jobs', 'misfits', 'nonconformity', 'progressive', 'rebels', 'status-quo', 'think-different', 'troublemakers']",63689
We accept the love we think we deserve.,Stephen Chbosky,"['inspirational', 'love']",63156
"Insanity is doing the same thing, over and over again, but expecting different results.",Narcotics Anonymous,"['humor', 'insanity', 'life', 'misattributed-ben-franklin', 'misattributed-mark-twain', 'misattributed-to-einstein']",59774
"I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.",Marilyn Monroe,"['attributed-no-source', 'misattributed-marilyn-monroe']",58752
Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,H. Jackson Brown Jr.,"['actions', 'disappointed', 'disappointment', 'dream', 'dreams', 'explore', 'misattributed-mark-twain', 'sail']",56185
It is better to be hated for what you are than to be loved for what you are not.,Andre Gide,"['life', 'love']",53925
"Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.",Bob Marley,['love'],53815
"All that is gold does not glitter,Not all those who wander are lost;The old that is strong does not wither,Deep roots are not reached by the frost.From the ashes a fire shall be woken,A light from the shadows shall spring;Renewed shall be blade that was broken,The crownless again shall be king.",J.R.R. Tolkien,"['frost', 'glitter', 'gold', 'lost', 'poetry', 'roots', 'strength', 'strong', 'wander', 'wither']",51057
"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,"['abilities', 'choices']",48519
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,"['attributed-no-source', 'be-yourself', 'inspirational']",47473
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,"['aliteracy', 'books', 'classic', 'humor']",47144
It does not do to dwell on dreams and forget to live.,J.K. Rowling,"['dreams', 'life']",46533
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,"['attributed-no-source', 'inspirational', 'life', 'live', 'miracle', 'miracles']",46369
"As he read, I fell in love the way you fall asleep: slowly, and then all at once.",John Green,['love'],44551
"Good friends, good books, and a sleepy conscience: this is the ideal life.",Mark Twain,"['books', 'contentment', 'friends', 'friendship', 'life']",43918
"It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.",Maurice Switzer,"['misattributed-to-abraham-lincoln', 'remaining-silent', 'wisdom']",42990
"The fool doth think he is wise, but the wise man knows himself to be a fool.",William Shakespeare,['wisdom'],42241
Life is what happens to us while we are making other plans.,Allen Saunders,"['fate', 'life', 'misattributed-john-lennon', 'planning', 'plans']",42057
"Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).",Mark Twain,"['individuality', 'majority', 'minority', 'pause', 'reflect', 'wisdom']",41854
"We are all in the gutter, but some of us are looking at the stars.",Oscar Wilde,"['inspirational', 'optimism', 'perception', 'pessimism']",41773
"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.",Neil Gaiman,"['books', 'dragons', 'fairy-tales', 'inspirational', 'paraphrasing-g-k-chesterton']",41040
"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.",Bill Keane,"['attributed-no-source', 'hope', 'inspirational', 'misattributed-eleanor-roosevelt', 'past', 'present', 'widely-misattributed']",40565
A woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,"['attributed-no-source', 'misattributed-eleanor-roosevelt']",39545
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,"['edison', 'failure', 'inspirational', 'paraphrased']",39373
The man who does not read has no advantage over the man who cannot read.,Mark Twain,"['aliteracy', 'attributed-no-source', 'literacy']",38666
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,"['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy']",38431
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,"['friendship', 'lack-of-friendship', 'lack-of-love', 'love', 'marriage', 'unhappy-marriage']",38336
If you don't stand for something you will fall for anything.,Gordon A. Eadie,"['belief', 'integrity', 'misattributed-to-malcolm-x', 'misattributed-to-rosa-parks']",37886
"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",douglas adams,"['life', 'navigation']",37242
I solemnly swear that I am up to no good.,J.K. Rowling,['mischief'],37153
"Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.",Groucho Marx,"['animals', 'books', 'dogs', 'friends', 'humor']",36372
"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.",Pablo Neruda,"['love', 'poetry']",36077
I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,Albert Einstein,"['1929', 'imagination', 'inspirational', 'viereck-interview']",36008
"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",Dr. Seuss,['fantasy'],35269
A children's story that can only be enjoyed by children is not a good children's story in the slightest.,C.S. Lewis,"['books', 'children-s-books', 'reading']",12264
"Happiness is when what you think, what you say, and what you do are in harmony.",Mahatma Gandhi,"['attributed-no-source', 'happiness']",12260
Being a woman is a terribly difficult trade since it consists principally of dealings with men.,Joseph Conrad,['women'],12255
Well-behaved women seldom make history.,Laurel Thatcher Ulrich,"['inspirational', 'misattributed-eleanor-roosevelt', 'women']",12226
How wonderful it is that nobody need wait a single moment before starting to improve the world.,Anne Frank,"['activism', 'life', 'optimism', 'philosophy', 'world']",12189
"We're all human, aren't we? Every human life is worth the same, and worth saving.",J.K. Rowling,"['human', 'life', 'value', 'worth']",12176
It's the friends you can call up at 4 a.m. that matter.,Marlene Dietrich,['attributed-no-source'],12062
The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.,Isaac Asimov,"['life', 'science', 'wisdom']",12030
The world is not a wish-granting factory.,John Green,[],12014
"Never forget what you are, for surely the world will not. Make it your strength. Then it can never be your weakness. Armour yourself in it, and it will never be used to hurt you.",George R.R. Martin,['identity'],11992
"I no longer believed in the idea of soul mates, or love at first sight. But I was beginning to believe that a very few times in your life, if you were lucky, you might meet someone who was exactly right for you. Not because he was perfect, or because you were, but because your combined flaws were arranged in a way that allowed two separate beings to hinge together.",Lisa Kleypas,"['love', 'relationships', 'romance']",11893
You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.,Albert Camus,"['attributed-no-source', 'happiness', 'meaning-of-life']",11839
"Sometimes you have to be apart from people you love, but that doesn't make you love them any less. Sometimes you love them more.",Nicholas Sparks,[],11835
"Give a man a fire and he's warm for a day, but set fire to him and he's warm for the rest of his life.",Terry Pratchett,"['humor', 'proverb']",11835
It's far better to be unhappy alone than unhappy with someone — so far.,Marilyn Monroe,"['alone', 'attributed-no-source']",11811
I am no bird; and no net ensnares me: I am a free human being with an independent will.,Charlotte Brontë,"['character', 'empowerment', 'flaws', 'freedom', 'gender', 'identity', 'image', 'independence', 'integrity', 'realism', 'self-awareness', 'self-determination', 'women']",11780
"Becoming fearless isn't the point. That's impossible. It's learning how to control your fear, and how to be free from it.",Veronica Roth,"['dauntless', 'divergent', 'fearless', 'four', 'tris']",11682
"And above all, watch with glittering eyes the whole world around you because the greatest secrets are always hidden in the most unlikely places. Those who don't believe in magic will never find it.",Roald Dahl,"['believe', 'glittering-eyes', 'hidden', 'magic', 'secrets', 'unlikely-places', 'watch', 'world']",11512
"If you don't know where you're going, any road'll take you there",George Harrison,"['life', 'paraphrase-of-lewis-carroll']",11501
I am not pretty. I am not beautiful. I am as radiant as the sun.,Suzanne Collins,['truth'],11481
You can love someone so much...But you can never love people as much as you can miss them.,John Green,"['breaking-up', 'lost-love']",11461
There's nothing like deep breaths after laughing that hard. Nothing in the world like a sore stomach for the right reasons.,Stephen Chbosky,['happiness'],11460
"When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too.",Paulo Coelho,"['hope', 'inspiration', 'love', 'santiago']",11446
"The Road Not TakenTwo roads diverged in a yellow wood,And sorry I could not travel both	And be one traveler, long I stood	And looked down one as far as I could	To where it bent in the undergrowth;	 Then took the other, as just as fair,	And having perhaps the better claim,	Because it was grassy and wanted wear;	Though as for that the passing there	Had worn them really about the same,	 And both that morning equally lay	In leaves no step had trodden black.	Oh, I kept the first for another day!	Yet knowing how way leads on to way,	I doubted if I should ever come back.	 I shall be telling this with a sigh	Somewhere ages and ages hence:	Two roads diverged in a wood, and I—	I took the one less traveled by,	And that has made all the difference.",Robert Frost,"['choice', 'poetry']",11433
One is loved because one is loved. No reason is needed for loving.,Paulo Coelho,['love'],11414
Love is needing someone. Love is putting up with someone's bad qualities because they somehow complete you.,Sarah Dessen,['love'],11361
With great power... comes great need to take a nap. Wake me up later.,Rick Riordan,['nico'],11347
"When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.",Mahatma Gandhi,"['despair', 'evil', 'goodness', 'inspirational', 'love', 'sadness', 'truth', 'victory']",11304
"If we find ourselves with a desire that nothing in this world can satisfy, the most probable explanation is that we were made for another world.",C.S. Lewis,"['god', 'world']",11294
"Nothing is impossible, the word itself says 'I'm possible'!",Audrey Hepburn,"['attributed-no-source', 'inspirational']",11275
